model_name,feature_group,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,brier_score,brier_score_std,ece,ece_std,train_time_s,inference_ms_per_1k,dataset,n_features
RF,G1,0.9297255996279317,0.008463328205738817,0.9334954221519108,0.028705912452255455,0.9295965270684372,0.025404358008923076,0.9308216330720127,0.007628738420671799,0.9624417731318007,0.012469502046540478,0.05994658359445516,0.00994706905191226,0.05030352825816168,0.0073136546923552375,0.12573363999836146,0.04964945794308847,A,20
SVM,G1,0.9090160122251014,0.01500763562908517,0.9058968918889043,0.034505892295295264,0.918335035750766,0.013412397182300681,0.9114662654894818,0.01227793280051126,0.9354818074223538,0.012994107959725196,0.07663342024781504,0.008623335932830645,0.08018621762893725,0.012853481696440497,0.055640299990773204,0.08924050485573198,A,20
MLP,G1,0.9124509999335594,0.015123991292376909,0.916767040149393,0.025517328821524566,0.9114402451481103,0.028351990106879513,0.9135614131692499,0.015031028825156409,0.9425517956428362,0.022826598035202088,0.09678130836062557,0.037803718976639464,0.11821505445243712,0.07733405560671637,0.09135743998922408,0.0014606703747068578,A,20
KNN,G1,0.899774101388612,0.014328117616543776,0.9107477308885283,0.02158065104697641,0.8910367722165475,0.03724755901450269,0.9000399159485918,0.01613960569819676,0.9469409113266419,0.01001531275310752,0.07812477576240781,0.010434121653274503,0.0627028104444887,0.02001760671256824,0.0004336599726229906,0.01891351216277461,A,20
Stacking,G1,0.9285695302637699,0.00783269873636054,0.9412880593547299,0.025408232598981357,0.9182328907048006,0.03333793901941271,0.9287579361400938,0.008717213666483604,0.9655349654649136,0.0065283868111994155,0.0586975099943751,0.006508375530028513,0.05665841764506822,0.01635708887341701,1.2028770000208169,0.06736151487839721,A,20
OC_SVM,G1,0.6336921134808319,0.04969149238783049,0.698175273857353,0.05840606414814816,0.5034473953013279,0.12823696761377804,0.5748373216609071,0.0828209932661019,0.6212836215798527,0.07299411984539501,0.2376390657329172,0.006604878188075275,0.10011735538984316,0.045602529473971656,0.0018884400138631462,0.0074623619257237015,A,20
RF,G2,0.8386951033153943,0.013287532375352691,0.8500597634368594,0.026223139335160097,0.8299540347293156,0.009730756544121979,0.8395809231558706,0.01105788424266119,0.9149517867697712,0.014506141260932184,0.11726486152687716,0.011737984656281916,0.07178562804253212,0.016058419299866667,0.11144063998945057,0.041502025828600075,A,10
SVM,G2,0.8110424556507873,0.018512966240911487,0.8279372098970272,0.02130879185391763,0.7935393258426966,0.03376401751869084,0.8098681198852182,0.020624207477256514,0.8737366519760386,0.030127353430992328,0.14187768376123505,0.012344619376879116,0.07199758811108756,0.013577544264546514,0.06137998001649976,0.10019768246008157,A,10
MLP,G2,0.7868247956946381,0.028956789319554796,0.8097180451127819,0.03718145843530833,0.7617977528089888,0.044174381541132665,0.7839189298690149,0.029218002008859004,0.8296260230224594,0.020767925026163064,0.19171894988709307,0.009924006457836287,0.17106040240009113,0.055320720618670126,0.049067899980582294,0.0013957184565348661,A,10
KNN,G2,0.8133811706863332,0.0206327052877019,0.8577670604722119,0.02561777546764921,0.7595760980592441,0.04595626117582739,0.8046406948754697,0.025850251811488048,0.8790406470210955,0.009004676122943114,0.14318065244834233,0.005453001918569825,0.09190884326622814,0.014620750412347193,0.001300439960323274,0.012612821106452987,A,10
