model_name,feature_group,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,brier_score,brier_score_std,ece,ece_std,train_time_s,inference_ms_per_1k,dataset,n_features
RF,G6,0.9608398113082186,0.009851071205290213,0.9642246642246644,0.02114691632136215,0.9591675178753831,0.01703890663198105,0.9614027353426768,0.009494333342291423,0.9923535839496737,0.002837912155069007,0.034056489934223645,0.0036658213765230507,0.057746395588333,0.010916646332571807,0.1071301199728623,0.03804109240204846,A,30
SVM,G6,0.9493189821274335,0.020051341668429225,0.9368730895318359,0.025349837791594405,0.9660112359550561,0.02027173886523146,0.9510318122240644,0.01887963179494461,0.9812598459580046,0.01121223827082466,0.045311594111899015,0.010109418222978101,0.069166661728252,0.015101011527267259,0.0648047000169754,0.09095212723035742,A,30
MLP,G6,0.9078333665537175,0.016276247061117712,0.9080740650204755,0.0247696252750852,0.9114913176710928,0.018405675661943607,0.909524882189164,0.015627690095289793,0.9710297995246273,0.005646692793216667,0.07244813889835686,0.01647139674524742,0.08468874529563078,0.04621656061356096,0.08931599999777973,0.001205388269340839,A,30
KNN,G6,0.9181848382167297,0.022307099764090985,0.9226197534716805,0.02067659428722779,0.9161133810010214,0.030953593740285903,0.9191300892912796,0.021951345837732852,0.9749253108018037,0.008981798827586762,0.05553252275596306,0.009201380101742505,0.03662879542887516,0.005419755534174865,0.0003376400098204613,3.2171797527366444,A,30
Stacking,G6,0.9516111886253406,0.01653085297309159,0.950719681199072,0.019785839164931773,0.9546475995914199,0.021561951848093737,0.9525016520588334,0.01616209600655787,0.992094504428847,0.00252843173935681,0.033169267361908325,0.006685626700175216,0.0577177365117577,0.006391433224175128,1.2822167199803516,0.06680556454446826,A,30
OC_SVM,G6,0.7499701016543752,0.03135178279057624,0.8118598433814318,0.015063402171087054,0.659729315628192,0.06525381786965849,0.7266010104992858,0.04580881864029848,0.7887011963965576,0.023565319235410342,0.19012116979596397,0.007224261358484516,0.11048317028180843,0.033324942100973705,0.0021368799731135367,0.010506774144894787,A,30
RF,G6,0.9923317120038432,0.007433688505178315,0.9899595959595959,0.012681270076534329,0.9959183673469388,0.004998958658741185,0.9928829884159833,0.0068825745095114355,0.9997586663531391,0.00029557862379977123,0.007750618507175884,0.0036778002312440636,0.02524956464300727,0.0037221602050773145,0.17342920002993195,0.06000504098522334,B,30
SVM,G6,0.9814027502552092,0.00817374943166603,0.9739393939393939,0.013583060806135614,0.991815695350305,0.0076417722675117036,0.9827307041520239,0.007580586792701089,0.999231186121056,0.0005285602916590001,0.01348352370328946,0.0038639322518029583,0.03445974312788701,0.005081577025702859,0.059824100020341574,0.07240855156023511,B,30
MLP,G6,0.971560679757401,0.014814214538624252,0.9697269742438162,0.019883420206954626,0.9774247843467283,0.01506622677654982,0.9734360647666452,0.013806784045803148,0.9933027020446155,0.005843929960696948,0.0386520081923659,0.024399275288517805,0.09501742768083701,0.06861829236897751,0.08184269999619573,0.0014341157420475115,B,30
KNN,G6,0.9671710802858344,0.004935068557020308,0.9543889683085955,0.009620797844412056,0.9856722070271408,0.010389772359462549,0.9696963513151049,0.00451955551210979,0.9910099575672993,0.0022688992124475457,0.02472803699033207,0.002726881153822096,0.016412658379871492,0.00474327030196581,0.0003613200038671494,0.01658732488790895,B,30
Stacking,G6,0.993436618026782,0.0021828208619931685,0.9938775510204081,0.004998958658741185,0.9938565116768358,0.005016284285321563,0.9938459911664946,0.002025140990344861,0.9996871325849928,0.00046564244350772376,0.006681811098516575,0.0037251382285091784,0.026060622429637435,0.006449972401017805,1.4208778400206938,0.07383753665122436,B,30
OC_SVM,G6,0.722104125382814,0.014337535501400574,0.7955379912516255,0.03300249063221171,0.6467073427309068,0.030028870681861684,0.7124085075716431,0.01615947508509862,0.7478320064539841,0.02187484627665067,0.20159006393118978,0.004303014199970422,0.12396729267424689,0.013795546495315296,0.002230839990079403,0.006696969352608652,B,30
