feature,importance_mean,importance_std
total_header_count,0.021857923497267784,0.0077279429637874125
has_delivered_to,0.009107468123861576,0.006815405076090976
n_hop_domains,0.007285974499089261,0.005151961975858275
has_list_unsubscribe,0.0018214936247723152,0.002575980987929138
has_precedence,0.0018214936247723152,0.002575980987929138
has_errors_to,0.0018214936247723152,0.002575980987929138
is_bulk_precedence,0.0018214936247723152,0.002575980987929138
is_multipart,0.0018214936247723152,0.002575980987929138
list_unsubscribe_len,0.0018214936247723152,0.002575980987929138
has_return_path,0.0,0.0
has_reply_to,0.0,0.0
has_to,0.0,0.0
has_from,0.0,0.0
has_date,0.0,0.0
has_message_id,0.0,0.0
has_received,0.0,0.0
has_mime_version,0.0,0.0
has_domainkey_signature,0.0,0.0
has_x_spam_status,0.0,0.0
has_dkim_signature,0.0,0.0
has_content_type,0.0,0.0
has_content_transfer_encoding,0.0,0.0
has_subject,0.0,0.0
has_x_mailer,0.0,0.0
has_dmarc,0.0,0.0
from_domain_len,0.0,0.0
from_eq_reply_to_domain,0.0,0.0
from_eq_return_path_domain,0.0,0.0
from_eq_mid_domain,0.0,0.0
from_eq_first_received_domain,0.0,0.0
reply_to_present_and_differs,0.0,0.0
return_path_present_and_differs,0.0,0.0
to_domain_eq_from_domain,0.0,0.0
mid_domain_eq_from_domain,0.0,0.0
reply_to_subdomain_of_from,0.0,0.0
has_x_originating_ip,0.0,0.0
has_authentication_results,0.0,0.0
has_x_priority,0.0,0.0
has_spf,0.0,0.0
has_dkim,0.0,0.0
n_private_ips_in_received,0.0,0.0
n_unique_hop_ips,0.0,0.0
malformed_received_hops,0.0,0.0
missing_received,0.0,0.0
n_received_hops,0.0,0.0
date_vs_received_anomaly,0.0,0.0
n_unique_tz_offsets,0.0,0.0
tz_mismatch_in_received,0.0,0.0
subject_len,0.0,0.0
subject_has_re,0.0,0.0
subject_exclaim_count,0.0,0.0
subject_all_caps,0.0,0.0
subject_question_count,0.0,0.0
excessive_hops,0.0,0.0
duplicate_headers,0.0,0.0
has_unusual_tz,0.0,0.0
mid_len,0.0,0.0
is_quoted_printable,0.0,0.0
is_base64_encoded,0.0,0.0
is_html_only,0.0,0.0
dmarc_result,0.0,0.0
dkim_signature_present,0.0,0.0
spf_result,0.0,0.0
dkim_result,0.0,0.0
auth_results_present,0.0,0.0
dkim_signature_valid_format,0.0,0.0
x_mailer_len,0.0,0.0
any_auth_fail,0.0,0.0
x_priority_value,0.0,0.0
n_to_addresses,0.0,0.0
n_cc_addresses,0.0,0.0
x_spam_score,0.0,0.0
